91,4/1/2019,2019,2,Q2,4,April,1,2,Monday
92,4/2/2019,2019,2,Q2,4,April,2,3,Tuesday
93,4/3/2019,2019,2,Q2,4,April,3,4,Wednesday
94,4/4/2019,2019,2,Q2,4,April,4,5,Thursday
95,4/5/2019,2019,2,Q2,4,April,5,6,Friday
96,4/6/2019,2019,2,Q2,4,April,6,7,Saturday
97,4/7/2019,2019,2,Q2,4,April,7,1,Sunday
98,4/8/2019,2019,2,Q2,4,April,8,2,Monday
99,4/9/2019,2019,2,Q2,4,April,9,3,Tuesday
100,4/10/2019,2019,2,Q2,4,April,10,4,Wednesday
101,4/11/2019,2019,2,Q2,4,April,11,5,Thursday
102,4/12/2019,2019,2,Q2,4,April,12,6,Friday
103,4/13/2019,2019,2,Q2,4,April,13,7,Saturday
104,4/14/2019,2019,2,Q2,4,April,14,1,Sunday
105,4/15/2019,2019,2,Q2,4,April,15,2,Monday
106,4/16/2019,2019,2,Q2,4,April,16,3,Tuesday
107,4/17/2019,2019,2,Q2,4,April,17,4,Wednesday
108,4/18/2019,2019,2,Q2,4,April,18,5,Thursday
109,4/19/2019,2019,2,Q2,4,April,19,6,Friday
110,4/20/2019,2019,2,Q2,4,April,20,7,Saturday
111,4/21/2019,2019,2,Q2,4,April,21,1,Sunday
112,4/22/2019,2019,2,Q2,4,April,22,2,Monday
113,4/23/2019,2019,2,Q2,4,April,23,3,Tuesday
114,4/24/2019,2019,2,Q2,4,April,24,4,Wednesday
115,4/25/2019,2019,2,Q2,4,April,25,5,Thursday
116,4/26/2019,2019,2,Q2,4,April,26,6,Friday
117,4/27/2019,2019,2,Q2,4,April,27,7,Saturday
118,4/28/2019,2019,2,Q2,4,April,28,1,Sunday
119,4/29/2019,2019,2,Q2,4,April,29,2,Monday
120,4/30/2019,2019,2,Q2,4,April,30,3,Tuesday
121,5/1/2019,2019,2,Q2,5,May,1,4,Wednesday
122,5/2/2019,2019,2,Q2,5,May,2,5,Thursday
123,5/3/2019,2019,2,Q2,5,May,3,6,Friday
124,5/4/2019,2019,2,Q2,5,May,4,7,Saturday
125,5/5/2019,2019,2,Q2,5,May,5,1,Sunday
126,5/6/2019,2019,2,Q2,5,May,6,2,Monday
127,5/7/2019,2019,2,Q2,5,May,7,3,Tuesday
128,5/8/2019,2019,2,Q2,5,May,8,4,Wednesday
129,5/9/2019,2019,2,Q2,5,May,9,5,Thursday
130,5/10/2019,2019,2,Q2,5,May,10,6,Friday
131,5/11/2019,2019,2,Q2,5,May,11,7,Saturday
132,5/12/2019,2019,2,Q2,5,May,12,1,Sunday
133,5/13/2019,2019,2,Q2,5,May,13,2,Monday
134,5/14/2019,2019,2,Q2,5,May,14,3,Tuesday
135,5/15/2019,2019,2,Q2,5,May,15,4,Wednesday
136,5/16/2019,2019,2,Q2,5,May,16,5,Thursday
137,5/17/2019,2019,2,Q2,5,May,17,6,Friday
138,5/18/2019,2019,2,Q2,5,May,18,7,Saturday
139,5/19/2019,2019,2,Q2,5,May,19,1,Sunday
140,5/20/2019,2019,2,Q2,5,May,20,2,Monday
141,5/21/2019,2019,2,Q2,5,May,21,3,Tuesday
142,5/22/2019,2019,2,Q2,5,May,22,4,Wednesday
143,5/23/2019,2019,2,Q2,5,May,23,5,Thursday
144,5/24/2019,2019,2,Q2,5,May,24,6,Friday
145,5/25/2019,2019,2,Q2,5,May,25,7,Saturday
146,5/26/2019,2019,2,Q2,5,May,26,1,Sunday
147,5/27/2019,2019,2,Q2,5,May,27,2,Monday
148,5/28/2019,2019,2,Q2,5,May,28,3,Tuesday
149,5/29/2019,2019,2,Q2,5,May,29,4,Wednesday
150,5/30/2019,2019,2,Q2,5,May,30,5,Thursday
151,5/31/2019,2019,2,Q2,5,May,31,6,Friday
